Nazwa, Kategoria, Opis
Sala weselna,Usługa,Wynajem przestrzeni na przyjęcie wraz z obsługą.
Catering,Usługa,Przygotowanie i serwowanie posiłków oraz napojów.
Suknia ślubna,Produkt,Główny element stroju Panny Młodej wraz z dodatkami.
Garnitur,Produkt,Kompletny strój Pana Młodego (marynarka; spodnie; koszula).
Obrączki,Produkt,Symboliczne pierścienie wymieniane podczas przysięgi.
Fotograf,Usługa,Reportaż zdjęciowy z przygotowań; ceremonii i wesela.
Kamerzysta,Usługa,Nagranie i montaż filmu lub teledysku ślubnego.
Oprawa muzyczna (DJ/Zespół),Usługa,Zapewnienie muzyki i prowadzenie zabawy weselnej.
Tort weselny,Produkt,Główny wypiek serwowany uroczyście w trakcie nocy.
Zaproszenia i papeteria,Produkt,Karty zaproszeń; winietki; menu i podziękowania dla gości.
Dekoracje i florystyka,Produkt,Kwiaty do kościoła/urzędu; na salę oraz bukiet ślubny.
Makijaż i fryzura ślubna,Usługa,Stylizacja Panny Młodej w dniu ślubu.
Alkohol,Produkt,Wódka; wino; piwo lub bar z drinkami.
Transport (Auto do ślubu),Usługa,Wynajem luksusowego lub zabytkowego pojazdu z kierowcą.
Noclegi dla gości,Usługa,Rezerwacja miejsc hotelowych dla przyjezdnych uczestników.
Podziękowania dla rodziców,Produkt,Prezenty wręczane rodzicom w trakcie oficjalnej części.
Atrakcje (np. fotobudka; ciężki dym),Usługa,Dodatkowe urozmaicenie czasu dla gości.
Konsultant ślubny,Usługa,Pomoc w kompleksowej organizacji i koordynacji wydarzenia.
Opłaty urzędowe/kościelne,Usługa,Formalne koszty zawarcia związku małżeńskiego.
Muzyka podczas ceremonii,Usługa,Oprawa muzyczna w kościele lub urzędzie (np. skrzypce; harfa lub wokal).
Animacje dla dzieci,Usługa,Profesjonalna opieka i organizacja zabaw dla najmłodszych gości.
Kurs tańca dla pary młodej,Usługa,Lekcje przygotowujące do wykonania pierwszego tańca.
Biżuteria ślubna,Produkt,Naszyjniki; kolczyki; bransoletki lub spinki do mankietów.
Buty ślubne,Produkt,Obuwie dla Panny Młodej i Pana Młodego dopasowane do stylizacji.
Księga gości,Produkt,Miejsce na pamiątkowe wpisy; zdjęcia z fotobudki i życzenia od bliskich.
Upominki dla gości,Produkt,Drobne prezenty w ramach podziękowania za przybycie (np. słoiczki miodu; świece).
Słodki stół (Candy Bar),Usługa,Specjalnie zaaranżowana sekcja z monoporcjami; makaronikami i deserami.
Zimne ognie,Produkt,Akcesoria do efektownych zdjęć grupowych wykonywanych po zmroku.
Prezenty dla świadków,Produkt,Spersonalizowane upominki dla osób pełniących kluczowe role pomocnicze.
Plan stołów,Produkt,Tablica lub stelaż z listą gości przypisanych do konkretnych numerów stolików.
Barber,Usługa,Profesjonalna stylizacja brody i strzyżenie Pana Młodego przed uroczystością.
Manicure i pedicure,Usługa,Zabiegi pielęgnacyjne dłoni i stóp przed ślubem.
Pudełko na koperty,Produkt,Estetyczny pojemnik na życzenia i karty od gości weselnych.
Wynajem autokaru,Usługa,Transport zbiorowy dla gości między miejscem ceremonii a salą weselną.
Efekty specjalne (ciężki dym),Usługa,Zapewnienie efektu "tańca w chmurach" podczas pierwszego tańca.
Winietki,Produkt,Karteczki z imionami i nazwiskami gości umieszczane bezpośrednio przy nakryciach.
Koszyczek ratunkowy,Produkt,Zestaw niezbędnych drobiazgów w łazienkach (np. plastry; agrafki; nici).
